item,description,primary_machine,scorable_units,2025-01,2025-02,2025-03,2025-04,2025-05,2025-06,2025-07,2025-08,2025-09,2025-10,2025-11,2025-12,2026-01,2026-02,2026-03,2026-04,2026-05,2026-06,2026-07,eff_pct
10012,"ORG Lemon Grass, 7 Oz Bag",AMS,5520,,,,,,,,,,,,,,51.7,,,,,54.1,52.6
TGB502,Chaga Ashwaganda Tea Goody Bag,Assembly,5495,17.5,69.0,,22.1,24.8,,,10.1,,,3.7,,,23.3,14.4,17.7,8.1,,24.8,12.9
45051,ORG Turkey Tail Astragalus 25 Ct Tea Bag - G,Maisa 2+3,5484,115.0,158.5,71.9,,124.3,,,,,,,64.0,,78.7,,198.7,,,,92.8
10022,ORG Raw Dandelion1 Lb Bag,AMS,5457,,,,,,,,,175.6,202.0,210.7,,,,72.3,68.0,24.5,,,88.8
45020F,Chaga Ashwagandha Dual Language 10 cnt TB,Maisa 2+3,5452,123.1,98.4,,132.6,183.7,,124.3,,111.9,75.6,58.0,103.6,,109.5,137.6,,,60.8,,102.8
40061,ORG Hazelnut 25CT Tea Bag - GA,Maisa 1,5376,,,,,,102.4,,,,56.3,90.0,,,87.9,121.2,104.7,,,,91.7
85010L,ORG Reishi Eleuthero 10 Oz Bag/Box of 24 - G,WeighRight,5369,71.7,,,89.1,71.1,,85.1,,,118.3,,329.8,,97.0,101.6,329.8,,,97.7,98.6
43116,Dandelion DarkRoast Tagless Tea Bag - 50 Ct,Assembly,5298,103.7,,201.5,49.0,134.1,78.4,,,102.9,,49.7,,111.3,,98.2,,,,7.5,86.0
80060,ORG Hazelnut 11OZ Bag/6 Count Case - GA,WeighRight,5292,88.5,109.2,146.3,57.7,110.1,,88.5,,77.8,122.0,,124.9,,98.7,101.4,92.8,,,100.9,99.1
45031,ORG Lion's Mane Rhodiola 25 Ct Tea Bag - G,Maisa 1,5208,113.5,109.8,68.7,82.3,,,,,27.8,73.8,,19.2,111.5,6.7,55.7,201.0,,,,57.8
40131,ORG Mexican Chocolate 25CT Tea Bag - G,Maisa 2+3,5142,110.4,,64.6,,68.7,,248.8,,107.0,,112.8,62.9,101.7,97.0,,,,94.5,,99.6
80020L,ORG Chocolate Mint 11OZ Bag/Box of 24 - GA,WeighRight,5074,,131.6,,,135.8,,,109.5,,,,179.9,,,,133.0,,,,140.7
10019,ORG Astragalus 8 Oz Bag,WeighRight,5001,,,,,,,,166.1,,,135.7,133.6,,184.0,,,87.2,,,125.0
TB050,ORG English Toffee Tea Bag Loose - GA,Maisa 1,5000,,,,,,,,,104.5,,,,,,,,,,,104.5
TB603,ORG Mango Lemon Balm Loose Tea Bag - G,Maisa 1,5000,,112.7,,,,,,,,,,,,,,,,,,112.7
10059A,AMZN ORG French Chicory 2 X 1 Lb Bag,WeighRight,4968,,40.4,,,,,,,76.2,62.1,,64.9,56.4,,52.8,,,29.9,58.0,53.8
45071,ORG Miraculous Mushroom A&P 25 Ct Tea Bag,Maisa 1,4915,,,,131.3,124.8,,,,,,69.7,119.4,,324.5,110.0,,39.2,,,94.8
43226,Dandelion Caramel Nut Tagless Tea Bag - 50 Ct - A,Assembly,4820,,129.9,,,,175.9,,,144.4,,76.3,,200.4,,100.0,101.6,,129.3,,122.1
80116A,French Roast 500g APG Bag - G,WeighRight,4728,,111.0,110.4,,,109.3,,,171.7,,,,168.5,183.1,,,,,,136.8
43310L,Org Dandelion Mocha Mint 10 Ct Tea Bag Loose - A,Maisa 2+3,4562,,134.9,,,,,,,,96.0,,,127.8,,128.9,86.6,224.8,,,121.2
43081,ORG Dandelion Mocha 25CT Tea Bag - A,Maisa 2+3,4535,100.8,57.7,,,,107.9,,,10.3,63.1,,,,90.7,149.8,474.1,,,,56.5
42041,Snickerdoodle 25CT Tea Bag - GA,Maisa 1,4527,24.7,130.4,139.4,107.9,111.4,,,,48.0,103.9,,97.3,,84.4,,116.3,,,,93.6
80080,ORG Mocha 11OZ Bag/6 Count Case - GA,WeighRight,4481,132.2,86.6,,117.5,,95.2,,205.7,160.0,127.5,,144.3,124.9,135.6,100.9,92.5,74.7,,131.6,115.3
80089A,AMZN ORG Raspberry Mocha 11OZ Bag/Box of 24 - GA,WeighRight,4464,114.8,,,,109.9,4.4,,,121.6,,,267.4,20.0,,,,,,,32.2
40001,Herbal Tea Sampler Box - 6 Count Case,Assembly,4435,27.8,31.5,34.9,,45.5,59.2,,28.5,,,28.3,,,29.2,12.5,25.9,,28.0,,27.8
45050,ORG Turkey Tail Astragalus 10 Ct Tea Bag/6 Count Case - G,Maisa 2+3,4403,144.0,,,,79.4,,112.2,,,,64.5,62.8,,102.9,123.9,90.0,,,,93.3
